,scm,method,model,seed,seed2,q,estimate
7777,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06941052014132251
7778,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06591022871341387
7779,fairness_xy,gan_ncm,maf,3407,42,ate,-0.06975420471477203
7780,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.24815097148688764
7781,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.2506732533377159
7782,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.2545092023381874
7783,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.25363256614406293
7784,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.24870750574062359
7785,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.24492223002739805
7786,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.25826797991454953
7787,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.2483867855098475
7788,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.2594490477268549
7789,fairness_xy,gan_ncm,maf,3407,3407,ate,-0.2512866324124653
